"Species" "SiteID" "Surface Type" "Plant growth type" "Biome" "Measure" "Value"
"202" "Crassula ovata" "2b" "sandstone" "Succulent" "Thicket" "Area cover in 2008 (cm^2)" NA
"203" "Crassula ovata" "2b" "sandstone" "Succulent" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
"204" "Crassula ovata" "2b" "sandstone" "Succulent" "Thicket" "Number of individuals in 2008" NA
"205" "Crassula ovata" "2b" "sandstone" "Succulent" "Thicket" "Area cover in 2012 (cm^2)" 1718
"206" "Crassula ovata" "2b" "sandstone" "Succulent" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 625
"207" "Crassula ovata" "2b" "sandstone" "Succulent" "Thicket" "Number of individuals in 2012" 4
"208" "Crassula ovata" "3" "africa" "Succulent" "Thicket" "Area cover in 1994 (cm^2)" 75
"209" "Crassula ovata" "3" "africa" "Succulent" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" NA
"210" "Crassula ovata" "3" "africa" "Succulent" "Thicket" "Number of individuals in 1994" 13
"211" "Crassula ovata" "3" "africa" "Succulent" "Thicket" "Area cover in 2008 (cm^2)" NA
"212" "Crassula ovata" "3" "africa" "Succulent" "Thicket" "Standard Deviation of area cover in 2008 (cm^2)" NA
"213" "Crassula ovata" "3" "africa" "Succulent" "Thicket" "Number of individuals in 2008" NA
"214" "Crassula ovata" "3" "africa" "Succulent" "Thicket" "Area cover in 2012 (cm^2)" 0
"215" "Crassula ovata" "3" "africa" "Succulent" "Thicket" "Standard Deviation of area cover in 2012 (cm^2)" 0
"216" "Crassula ovata" "3" "africa" "Succulent" "Thicket" "Number of individuals in 2012" 0
"217" "Crassula ovata" "4a" "shale" "Succulent" "Thicket" "Area cover in 1994 (cm^2)" 86
"218" "Crassula ovata" "4a" "shale" "Succulent" "Thicket" "Standard Deviation of area cover in 1994 (cm^2)" 49
"219" "Crassula ovata" "4a" "shale" "Succulent" "Thicket" "Number of individuals in 1994" 19
"220" "Crassula ovata" "4a" "shale" "Succulent" "Thicket" "Area cover in 2008 (cm^2)" NA
